ID,Preis,Kilometerstand,Leistung,Erstzulassung,Kraftstoff,Getriebe,Tueren,Halter,Preisstufe,FairJaNein,Kilometerspanne,Preisspanne,Manuell,Automatik,Benzin,Diesel,Elektro
1,16490,56300,150,2017,Benzin,Manuell,5,2,3,nein,60000.0,16000.0,1.0,0.0,1.0,0.0,0.0
2,23000,99000,300,2014,Benzin,Automatik,5,2,3,nein,100000.0,23000.0,0.0,1.0,1.0,0.0,0.0
3,12700,82990,125,2015,Benzin,Manuell,5,3,4,ja,80000.0,13000.0,1.0,0.0,1.0,0.0,0.0
4,16690,16000,116,2018,Diesel,Manuell,3,1,3,nein,20000.0,17000.0,1.0,0.0,0.0,1.0,0.0
5,19220,58800,220,2017,Benzin,Manuell,5,1,3,nein,60000.0,19000.0,1.0,0.0,1.0,0.0,0.0
6,21650,63400,184,2017,Diesel,Automatik,5,2,2,nein,60000.0,22000.0,0.0,1.0,0.0,1.0,0.0
7,11250,114820,150,2015,Diesel,Manuell,5,1,4,ja,110000.0,11000.0,1.0,0.0,0.0,1.0,0.0
9,19822,46774,116,2018,Diesel,Automatik,5,2,3,nein,50000.0,20000.0,0.0,1.0,0.0,1.0,0.0
10,18790,76000,184,2015,Diesel,Automatik,5,1,3,nein,80000.0,19000.0,0.0,1.0,0.0,1.0,0.0
11,17944,93796,150,2018,Diesel,Manuell,5,2,3,nein,90000.0,18000.0,1.0,0.0,0.0,1.0,0.0
12,22977,61621,184,2019,Diesel,Automatik,3,1,3,nein,60000.0,23000.0,0.0,1.0,0.0,1.0,0.0
13,14877,121264,150,2017,Diesel,Manuell,5,2,2,nein,120000.0,15000.0,1.0,0.0,0.0,1.0,0.0
15,23999,61583,230,2017,Benzin,Automatik,3,1,3,nein,60000.0,24000.0,0.0,1.0,1.0,0.0,0.0
16,19999,139000,184,2015,Diesel,Automatik,5,1,2,nein,140000.0,20000.0,0.0,1.0,0.0,1.0,0.0
18,17900,22000,125,2015,Benzin,Automatik,5,1,4,ja,20000.0,18000.0,0.0,1.0,1.0,0.0,0.0
19,11577,113441,116,2017,Diesel,Manuell,3,1,4,ja,110000.0,12000.0,1.0,0.0,0.0,1.0,0.0
20,21650,63400,184,2017,Diesel,Automatik,5,2,2,nein,60000.0,22000.0,0.0,1.0,0.0,1.0,0.0
21,16490,107000,230,2014,Benzin,Manuell,3,2,4,ja,110000.0,16000.0,1.0,0.0,1.0,0.0,0.0
22,16490,130545,184,2016,Diesel,Automatik,5,2,4,ja,130000.0,16000.0,0.0,1.0,0.0,1.0,0.0
23,22800,14000,136,2019,Elektro,Automatik,5,1,5,ja,10000.0,23000.0,0.0,1.0,0.0,0.0,1.0
24,14990,53902,110,2017,Benzin,Automatik,5,2,4,ja,50000.0,15000.0,0.0,1.0,1.0,0.0,0.0
26,13877,94482,110,2017,Diesel,Manuell,5,1,3,nein,90000.0,14000.0,1.0,0.0,0.0,1.0,0.0
27,24990,69977,245,2018,Benzin,Automatik,5,1,3,nein,70000.0,25000.0,0.0,1.0,1.0,0.0,0.0
28,15900,34301,116,2019,Diesel,Manuell,5,1,5,ja,30000.0,16000.0,1.0,0.0,0.0,1.0,0.0
29,23777,12835,136,2020,Elektro,Automatik,5,2,5,ja,10000.0,24000.0,0.0,1.0,0.0,0.0,1.0
30,20977,38590,150,2019,Diesel,Automatik,5,2,5,ja,40000.0,21000.0,0.0,1.0,0.0,1.0,0.0
32,22900,12375,116,2019,Diesel,Manuell,5,1,2,nein,10000.0,23000.0,1.0,0.0,0.0,1.0,0.0
33,15990,99704,125,2017,Benzin,Manuell,5,1,2,nein,100000.0,16000.0,1.0,0.0,1.0,0.0,0.0
35,15480,68700,150,2016,Diesel,Automatik,5,1,4,ja,70000.0,15000.0,0.0,1.0,0.0,1.0,0.0
36,15590,77500,150,2016,Benzin,Manuell,5,2,3,nein,80000.0,16000.0,1.0,0.0,1.0,0.0,0.0
37,24300,8900,136,2019,Elektro,Automatik,5,1,5,ja,10000.0,24000.0,0.0,1.0,0.0,0.0,1.0
